Country,Year,CoHD_PPP,PUA_pct,NUA_millions
Ghana,2017,3.54,67.2,20.2
Ghana,2018,3.51,66.1,20.2
Ghana,2019,3.48,64.8,20.3
Ghana,2020,3.46,65.6,20.9
Ghana,2021,3.5,64.7,21.1
Ghana,2022,3.83,64.7,21.5
Ghana,2023,4.29,66.4,22.4
Ghana,2024,4.49,65.8,22.6
Ghana,2025,4.65,65.8,23.1
