Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"076_2014","Brazil - 2014","FGW17","Condiments and seasonings","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","97.300000","E"
"076_2014","Brazil - 2014","FGW17","Condiments and seasonings","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.100000","E"
"076_2014","Brazil - 2014","FGW17","Condiments and seasonings","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","97.200000","E"
"076_2014","Brazil - 2014","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","80.100000","E"
"076_2014","Brazil - 2014","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","88.500000","E"
"076_2014","Brazil - 2014","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","79.900000","E"
"854_2021","Burkina Faso - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10000","National","6121","Value","%","25.100000","E"
"854_2021","Burkina Faso - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10002","Rural","6121","Value","%","22.300000","E"
"854_2021","Burkina Faso - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10001","Urban","6121","Value","%","31.100000","E"
"854_2021","Burkina Faso - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","98.100000","E"
"854_2021","Burkina Faso - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.300000","E"
"854_2021","Burkina Faso - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","97.600000","E"
"854_2021","Burkina Faso - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","97.500000","E"
"854_2021","Burkina Faso - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.100000","E"
"854_2021","Burkina Faso - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","96.300000","E"
"854_2021","Burkina Faso - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","10.500000","E"
"854_2021","Burkina Faso - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","7.000000","E"
"854_2021","Burkina Faso - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","17.700000","E"
"854_2021","Burkina Faso - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","11.900000","E"
"854_2021","Burkina Faso - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","13.200000","E"
"854_2021","Burkina Faso - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","9.200000","E"
"854_2021","Burkina Faso - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","38.700000","E"
"854_2021","Burkina Faso - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","39.700000","E"
"854_2021","Burkina Faso - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","36.600000","E"
"854_2021","Burkina Faso - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","10.900000","E"
"854_2021","Burkina Faso - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","9.500000","E"
"854_2021","Burkina Faso - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","13.900000","E"
"854_2021","Burkina Faso - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","52.500000","E"
"854_2021","Burkina Faso - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","44.500000","E"
"854_2021","Burkina Faso - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","69.200000","E"
"854_2021","Burkina Faso - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","6.700000","E"
"854_2021","Burkina Faso - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","4.500000","E"
"854_2021","Burkina Faso - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","11.200000","E"
"854_2021","Burkina Faso - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","71.200000","E"
"854_2021","Burkina Faso - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","77.700000","E"
"854_2021","Burkina Faso - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","57.600000","E"
"854_2021","Burkina Faso - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","8.100000","E"
