Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2011,2011,kcal/cap/d,115.65,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2011,2011,million Kcal,1101557.76,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2011,2011,g/cap/d,3.37,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2011,2011,t,32077.14,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2011,2011,g/cap/d,1.19,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2011,2011,t,11295.64,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2012,2012,1000 t,396,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2012,2012,1000 t,-45,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2012,2012,1000 t,11,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2012,2012,1000 t,430,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2012,2012,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2012,2012,1000 t,2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2012,2012,1000 t,1,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2012,2012,1000 t,16,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2012,2012,1000 t,410,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2012,2012,kg/cap,15.34,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2012,2012,kcal/cap/d,104.1,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2012,2012,million Kcal,1015836.49,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2012,2012,g/cap/d,2.99,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2012,2012,t,29192.77,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2012,2012,g/cap/d,1.14,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2012,2012,t,11094.46,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2013,2013,1000 t,426,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2013,2013,1000 t,-41,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2013,2013,1000 t,22,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2013,2013,1000 t,444,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2013,2013,1000 t,1,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2013,2013,1000 t,3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2013,2013,1000 t,1,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2013,2013,1000 t,15,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2013,2013,1000 t,425,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2013,2013,kg/cap,15.51,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2013,2013,kcal/cap/d,104.49,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2013,2013,million Kcal,1044509.43,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2013,2013,g/cap/d,3.1,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2013,2013,t,30952.81,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2013,2013,g/cap/d,0.94,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2013,2013,t,9369.2,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2014,2014,1000 t,574,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2014,2014,1000 t,-22,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2014,2014,1000 t,66,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2014,2014,1000 t,529,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2014,2014,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2014,2014,1000 t,10,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2014,2014,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2014,2014,1000 t,26,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2014,2014,1000 t,494,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2014,2014,kg/cap,17.6,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2014,2014,kcal/cap/d,117.39,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2014,2014,million Kcal,1201532.96,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2014,2014,g/cap/d,3.65,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2014,2014,t,37402.87,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2014,2014,g/cap/d,0.67,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2014,2014,t,6827.39,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2015,2015,1000 t,711,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2015,2015,1000 t,120,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2015,2015,1000 t,71,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2015,2015,1000 t,521,I,Value imputed by a receiving agency,
